Subject	items	prime	test	cumulativity	Structures	EnglishTestGrade
MC	1	0	baseline	0	PNP or other	14
MC	2	0	baseline	0	PNP or other	14
MC	3	1	baseline	0	NP	14
MC	4	0	baseline	33	PNP or other	14
MC	5	0	baseline	25	PNP or other	14
MC	6	0	baseline	20	PNP or other	14
MC	7	0	baseline	16,7	PNP or other	14
MC	8	1	baseline	14,2	NP	14
MC	9	0	baseline	25	PNP or other	14
MC	10	0	baseline	22,2	PNP or other	14
MC	11	0	baseline	20	PNP or other	14
MC	12	0	baseline	18,2	PNP or other	14
MC	13	0	baseline	16,7	PNP or other	14
MC	14	0	baseline	15,4	PNP or other	14
MC	15	0	baseline	14,2	PNP or other	14
MC	16	0	baseline	13,3	PNP or other	14
MC	17	0	baseline	12,5	PNP or other	14
MC	18	0	baseline	11,8	PNP or other	14
MC	19	0	baseline	11,1	PNP or other	14
MC	20	0	baseline	10,5	PNP or other	14
MC	1	0	prime	0	PNP or other	14
MC	2	0	prime	0	PNP or other	14
MC	3	0	prime	0	PNP or other	14
MC	4	1	prime	0	NP	14
MC	5	1	prime	25	NP	14
MC	6	0	prime	40	PNP or other	14
MC	7	1	prime	33,3	NP	14
MC	8	0	prime	42,8	PNP or other	14
MC	9	0	prime	37,5	PNP or other	14
MC	10	0	prime	33,3	PNP or other	14
MC	11	0	prime	30	PNP or other	14
MC	12	0	prime	27,3	PNP or other	14
MC	13	0	prime	25	PNP or other	14
MC	14	0	prime	23,1	PNP or other	14
MC	15	0	prime	21,4	PNP or other	14
MC	16	0	prime	20	PNP or other	14
MC	17	0	prime	18,8	PNP or other	14
MC	18	0	prime	17,6	PNP or other	14
MC	19	0	prime	16,6	PNP or other	14
MC	20	0	prime	15,8	PNP or other	14
MR	1	0	baseline	0	PNP or other	12
MR	2	0	baseline	0	PNP or other	12
MR	3	0	baseline	0	PNP or other	12
MR	4	0	baseline	0	PNP or other	12
MR	5	0	baseline	0	PNP or other	12
MR	6	0	baseline	0	PNP or other	12
MR	7	0	baseline	0	PNP or other	12
MR	8	0	baseline	0	PNP or other	12
MR	9	0	baseline	0	PNP or other	12
MR	10	0	baseline	0	PNP or other	12
MR	11	0	baseline	0	PNP or other	12
MR	12	0	baseline	0	PNP or other	12
MR	13	0	baseline	0	PNP or other	12
MR	14	0	baseline	0	PNP or other	12
MR	15	0	baseline	0	PNP or other	12
MR	16	0	baseline	0	PNP or other	12
MR	17	0	baseline	0	PNP or other	12
MR	18	1	baseline	0	NP	12
MR	19	1	baseline	5,6	NP	12
MR	20	1	baseline	10,5	NP	12
MR	1	0	prime	0	PNP or other	12
MR	2	0	prime	0	PNP or other	12
MR	3	0	prime	0	PNP or other	12
MR	4	0	prime	0	PNP or other	12
MR	5	1	prime	0	NP	12
MR	6	0	prime	20	PNP or other	12
MR	7	0	prime	16,6	PNP or other	12
